left_eye_263,left_eye_387,left_eye_385,left_eye_326,left_eye_380,left_eye_373,right_eye_33,right_eye_160,right_eye_158,right_eye_133,right_eye_153,right_eye_144,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.4979246258735657, 0.5027754306793213, 0.05464252457022667]","[0.5367358326911926, 0.49325644969940186, 0.05600673705339432]","[0.5705045461654663, 0.4941430985927582, 0.06389015167951584]","[0.5945587158203125, 0.5026244521141052, 0.08403845131397247]","[0.5691631436347961, 0.5084276795387268, 0.06094052270054817]","[0.53530353307724, 0.5081287622451782, 0.05217506363987923]","[0.3805398941040039, 0.5030345320701599, 0.04580306261777878]","[0.3478482961654663, 0.4937713146209717, 0.036669280380010605]","[0.31354159116744995, 0.4952583909034729, 0.03790457546710968]","[0.2859448790550232, 0.5037477612495422, 0.05334615707397461]","[0.3153836131095886, 0.5090236067771912, 0.0354694239795208]","[0.349962443113327, 0.5081855058670044, 0.03329489380121231]","[0.3658371567726135, 0.6315398216247559, -0.04839855432510376]","[0.42763206362724304, 0.6211345791816711, -0.07375331223011017]","[0.46867841482162476, 0.6209646463394165, -0.06917887926101685]","[0.5196242332458496, 0.6307491064071655, -0.03186460956931114]","[0.4687995910644531, 0.6279518604278564, -0.070423923432827]","[0.42626839876174927, 0.6281319856643677, -0.07510732114315033]","[0.4443119466304779, 0.3978438973426819, 0.07599050551652908]","[0.44643497467041016, 0.7224084734916687, -0.07489702105522156]"
"[0.4984773099422455, 0.503087043762207, 0.05424343794584274]","[0.5374306440353394, 0.4936443567276001, 0.05544963479042053]","[0.5713673830032349, 0.4945729970932007, 0.0633382499217987]","[0.5955624580383301, 0.5031211376190186, 0.08369109034538269]","[0.5701942443847656, 0.5089272856712341, 0.060510214418172836]","[0.536147952079773, 0.5086156129837036, 0.05174712464213371]","[0.3805699050426483, 0.5032787322998047, 0.045488614588975906]","[0.3477236330509186, 0.4940415024757385, 0.03629272058606148]","[0.31338268518447876, 0.4955143332481384, 0.03767269849777222]","[0.2857375741004944, 0.5039711594581604, 0.05335443094372749]","[0.31497395038604736, 0.509223222732544, 0.035290103405714035]","[0.34968799352645874, 0.5084648132324219, 0.03301135078072548]","[0.3645126223564148, 0.6305572390556335, -0.048405468463897705]","[0.426708847284317, 0.6206507682800293, -0.07341881096363068]","[0.46716171503067017, 0.6206194758415222, -0.06878338009119034]","[0.5182052254676819, 0.6303396821022034, -0.03207143023610115]","[0.4672800898551941, 0.6266965866088867, -0.07039281725883484]","[0.42515134811401367, 0.6267493963241577, -0.07509887963533401]","[0.4451710879802704, 0.3975790739059448, 0.0748296007514]","[0.4441647231578827, 0.7213861346244812, -0.07446244359016418]"
"[0.49823060631752014, 0.5027376413345337, 0.05337728559970856]","[0.5373644232749939, 0.4931468069553375, 0.05448693782091141]","[0.5713330507278442, 0.4941166043281555, 0.06234654039144516]","[0.5953319072723389, 0.50267094373703, 0.08264793455600739]","[0.5698661804199219, 0.5085052251815796, 0.05963686481118202]","[0.5358231067657471, 0.5081774592399597, 0.05089579150080681]","[0.3812198340892792, 0.5027008652687073, 0.04480535537004471]","[0.348410427570343, 0.49327242374420166, 0.03556377813220024]","[0.31403857469558716, 0.49469566345214844, 0.03692653775215149]","[0.28659337759017944, 0.5031489133834839, 0.05260678753256798]","[0.3158266246318817, 0.5085214972496033, 0.03467791900038719]","[0.35044845938682556, 0.5078104734420776, 0.032394856214523315]","[0.3649337887763977, 0.6308696866035461, -0.046977799385786057]","[0.42680346965789795, 0.6211691498756409, -0.0724455863237381]","[0.4674641489982605, 0.6210982799530029, -0.06793636828660965]","[0.5187355875968933, 0.63050776720047, -0.030888646841049194]","[0.46770018339157104, 0.6274772882461548, -0.06920844316482544]","[0.42539113759994507, 0.6275560259819031, -0.07382653653621674]","[0.445632666349411, 0.3978671431541443, 0.07260135561227798]","[0.4446040391921997, 0.7219111323356628, -0.07217542082071304]"
"[0.49827665090560913, 0.5032791495323181, 0.05364103242754936]","[0.5372222661972046, 0.49367600679397583, 0.054566193372011185]","[0.5711269974708557, 0.4946315884590149, 0.06205727532505989]","[0.5952104330062866, 0.5033169984817505, 0.0819740742444992]","[0.5698605179786682, 0.5092509984970093, 0.05919918417930603]","[0.5358704924583435, 0.508910059928894, 0.05077141523361206]","[0.3814949095249176, 0.5033391118049622, 0.046119123697280884]","[0.3488859236240387, 0.4939493238925934, 0.03738228231668472]","[0.31474757194519043, 0.4953758120536804, 0.03896928206086159]","[0.28751140832901, 0.5038876533508301, 0.054610323160886765]","[0.31632328033447266, 0.5092625617980957, 0.03644412383437157]","[0.3507654368877411, 0.5085543394088745, 0.033925630152225494]","[0.36465680599212646, 0.6306618452072144, -0.04766092821955681]","[0.42625313997268677, 0.6210532784461975, -0.07265696674585342]","[0.4662865996360779, 0.6210819482803345, -0.06852173060178757]","[0.5175537467002869, 0.630652904510498, -0.03300561010837555]","[0.4664524495601654, 0.626548707485199, -0.07039312273263931]","[0.4247473180294037, 0.6265493631362915, -0.0746106505393982]","[0.4457109868526459, 0.39804697036743164, 0.07522546499967575]","[0.44362378120422363, 0.7211995124816895, -0.07505612075328827]"
"[0.4981101155281067, 0.5032685995101929, 0.05317385122179985]","[0.5371437072753906, 0.4934835433959961, 0.05407833680510521]","[0.5713580846786499, 0.49432650208473206, 0.06164541840553284]","[0.5955952405929565, 0.5029491782188416, 0.08167804032564163]","[0.5700385570526123, 0.508996844291687, 0.058812785893678665]","[0.5359005331993103, 0.5087383389472961, 0.05030926689505577]","[0.3805622458457947, 0.5035097002983093, 0.04551849886775017]","[0.34779658913612366, 0.4941141605377197, 0.03671669587492943]","[0.313425749540329, 0.49555060267448425, 0.038279466331005096]","[0.28617119789123535, 0.5040900707244873, 0.054008133709430695]","[0.3152501583099365, 0.5094791650772095, 0.035799309611320496]","[0.3497849106788635, 0.508734405040741, 0.03330640867352486]","[0.3655455708503723, 0.6307158470153809, -0.04747205227613449]","[0.42674481868743896, 0.6213200688362122, -0.07225033640861511]","[0.4664357900619507, 0.6212611794471741, -0.06807631254196167]","[0.5174533128738403, 0.6304224729537964, -0.032741378992795944]","[0.4667493999004364, 0.6265718936920166, -0.06975165009498596]","[0.4253188669681549, 0.6266638040542603, -0.07402553409337997]","[0.4443156123161316, 0.3983248472213745, 0.0735904648900032]","[0.4448072910308838, 0.7207078337669373, -0.07313355803489685]"
"[0.4981549084186554, 0.5030924081802368, 0.05340820923447609]","[0.5370732545852661, 0.4935617446899414, 0.054277580231428146]","[0.5711197257041931, 0.49449074268341064, 0.06173551082611084]","[0.5952327251434326, 0.5030887126922607, 0.0815928727388382]","[0.5697745680809021, 0.5090224742889404, 0.05884189531207085]","[0.5357779860496521, 0.5086740255355835, 0.050455763936042786]","[0.38101914525032043, 0.5033382177352905, 0.04604542627930641]","[0.3484257459640503, 0.4940500259399414, 0.03735095262527466]","[0.3141370117664337, 0.4954734146595001, 0.03893367573618889]","[0.28688132762908936, 0.5039854049682617, 0.05459519475698471]","[0.3158661723136902, 0.5093561410903931, 0.03641415014863014]","[0.35032984614372253, 0.5085811018943787, 0.033870499581098557]","[0.3656494617462158, 0.630788266658783, -0.04772209748625755]","[0.426622211933136, 0.6209722757339478, -0.07270877808332443]","[0.46634557843208313, 0.6209163069725037, -0.06866471469402313]","[0.5170425176620483, 0.6304900050163269, -0.03327357769012451]","[0.46659982204437256, 0.6269126534461975, -0.06992951035499573]","[0.4250399172306061, 0.626989483833313, -0.07410138845443726]","[0.44554683566093445, 0.39893555641174316, 0.07505147159099579]","[0.44371721148490906, 0.7209566831588745, -0.07376502454280853]"
"[0.49811309576034546, 0.5026106834411621, 0.05293615907430649]","[0.5371707677841187, 0.49268394708633423, 0.05361654981970787]","[0.5715861916542053, 0.49343520402908325, 0.06105124577879906]","[0.5959712266921997, 0.5020654201507568, 0.0810394138097763]","[0.5703742504119873, 0.5082417726516724, 0.05817785486578941]","[0.5360889434814453, 0.508047878742218, 0.04983293265104294]","[0.3798345625400543, 0.5032845139503479, 0.04597819223999977]","[0.3468865156173706, 0.49396175146102905, 0.037303730845451355]","[0.31236863136291504, 0.4954931139945984, 0.03907014802098274]","[0.28520047664642334, 0.5041618347167969, 0.05498937889933586]","[0.3143179714679718, 0.5095483064651489, 0.036567602306604385]","[0.348949670791626, 0.5086815357208252, 0.03385646268725395]","[0.36556923389434814, 0.6307502388954163, -0.04731530696153641]","[0.4265599250793457, 0.6211248636245728, -0.07223194092512131]","[0.46605750918388367, 0.6209784746170044, -0.06834160536527634]","[0.517209529876709, 0.6301413774490356, -0.03345777839422226]","[0.46636396646499634, 0.626214861869812, -0.06987778842449188]","[0.4250183701515198, 0.6263988614082336, -0.0738537535071373]","[0.4435994625091553, 0.39756715297698975, 0.07354950159788132]","[0.4445703625679016, 0.7199813723564148, -0.07296589016914368]"
"[0.4975505471229553, 0.5023291110992432, 0.05375469848513603]","[0.5365161299705505, 0.49250057339668274, 0.05459100753068924]","[0.5705885887145996, 0.4934849739074707, 0.06185421720147133]","[0.5945426225662231, 0.5022796392440796, 0.08161833137273788]","[0.5691564083099365, 0.5081457495689392, 0.05893680825829506]","[0.5351975560188293, 0.5078063607215881, 0.05061468109488487]","[0.3802429437637329, 0.5025308132171631, 0.04676298052072525]","[0.34777340292930603, 0.4928939938545227, 0.03822176158428192]","[0.31356021761894226, 0.49430620670318604, 0.03979174792766571]","[0.28667527437210083, 0.5030216574668884, 0.05547335371375084]","[0.3153376579284668, 0.5084054470062256, 0.03721783310174942]","[0.3495577871799469, 0.5076885223388672, 0.03460261598229408]","[0.36452561616897583, 0.6300771832466125, -0.047264810651540756]","[0.4256196916103363, 0.6206808686256409, -0.0721190795302391]","[0.46559780836105347, 0.6206112504005432, -0.06825771927833557]","[0.5176147818565369, 0.6297096014022827, -0.033516377210617065]","[0.46576252579689026, 0.6255456209182739, -0.06995528191328049]","[0.42421674728393555, 0.6256301403045654, -0.07389868050813675]","[0.4450819790363312, 0.3974064588546753, 0.07564223557710648]","[0.442145973443985, 0.7192668318748474, -0.07571292668581009]"
"[0.4973459243774414, 0.5024572014808655, 0.054065294563770294]","[0.5364090204238892, 0.4926121234893799, 0.05540231242775917]","[0.5706064105033875, 0.49357858300209045, 0.06320716440677643]","[0.5944450497627258, 0.502282977104187, 0.08348788321018219]","[0.5690575838088989, 0.5080761313438416, 0.0604199655354023]","[0.5350071787834167, 0.5077999830245972, 0.05155050754547119]","[0.3800920248031616, 0.502444863319397, 0.04504154250025749]","[0.3473798930644989, 0.4928445518016815, 0.03592780977487564]","[0.3129478693008423, 0.4942476749420166, 0.03696994110941887]","[0.28566309809684753, 0.5028188228607178, 0.052473034709692]","[0.3149239122867584, 0.5081064701080322, 0.03457038849592209]","[0.3493799865245819, 0.507456362247467, 0.03245477378368378]","[0.36443275213241577, 0.6298258900642395, -0.04767393320798874]","[0.4266100823879242, 0.6209452152252197, -0.07166405022144318]","[0.4666566252708435, 0.6208754181861877, -0.06714228540658951]","[0.5182176828384399, 0.6294512748718262, -0.03144275024533272]","[0.4669244587421417, 0.6250520348548889, -0.06921428442001343]","[0.42548972368240356, 0.6251343488693237, -0.07389605790376663]","[0.4448241591453552, 0.39747554063796997, 0.07337427884340286]","[0.44352465867996216, 0.7195502519607544, -0.07437855750322342]"
"[0.49790817499160767, 0.5025697946548462, 0.05360671877861023]","[0.5371025800704956, 0.49309784173965454, 0.05474028363823891]","[0.571088969707489, 0.49420416355133057, 0.06269269436597824]","[0.5948877930641174, 0.5027559995651245, 0.0832170769572258]","[0.5694334506988525, 0.5083454847335815, 0.06014754995703697]","[0.5354529023170471, 0.5079364776611328, 0.05123622715473175]","[0.38040637969970703, 0.5021647810935974, 0.044549908488988876]","[0.34784364700317383, 0.4927687644958496, 0.035064857453107834]","[0.3134004473686218, 0.4941573441028595, 0.03624999523162842]","[0.2858591675758362, 0.5024853348731995, 0.051943592727184296]","[0.3151736259460449, 0.507738471031189, 0.03411513939499855]","[0.34972473978996277, 0.507102906703949, 0.031943876296281815]","[0.3634359836578369, 0.6311282515525818, -0.04648744314908981]","[0.42606133222579956, 0.6222012639045715, -0.07162646949291229]","[0.46702831983566284, 0.6221860647201538, -0.06707584857940674]","[0.5190224647521973, 0.6308587789535522, -0.02996819093823433]","[0.4672933518886566, 0.6273017525672913, -0.06879054754972458]","[0.424877405166626, 0.6273330450057983, -0.07346126437187195]","[0.4460110366344452, 0.3970017433166504, 0.07141107320785522]","[0.4431600868701935, 0.7211142778396606, -0.07221926748752594]"
"[0.4969595670700073, 0.5028744339942932, 0.05459744855761528]","[0.5357365012168884, 0.49347084760665894, 0.05587664991617203]","[0.5695483088493347, 0.4943854808807373, 0.06378459930419922]","[0.593708872795105, 0.5027980208396912, 0.0841144546866417]","[0.5684293508529663, 0.5084584355354309, 0.06099969521164894]","[0.5345484018325806, 0.5082144737243652, 0.052145931869745255]","[0.3792400658130646, 0.5031251907348633, 0.04564640298485756]","[0.346473753452301, 0.4941140413284302, 0.036324530839920044]","[0.31219837069511414, 0.4956949055194855, 0.03752148523926735]","[0.2844749987125397, 0.5041038393974304, 0.05312442407011986]","[0.3139207363128662, 0.5091366767883301, 0.03519214689731598]","[0.34856629371643066, 0.5083010196685791, 0.03301582112908363]","[0.3640086054801941, 0.6314913630485535, -0.047978635877370834]","[0.4267123341560364, 0.6217279434204102, -0.07309107482433319]","[0.4678807556629181, 0.6215682625770569, -0.06845159828662872]","[0.5194364786148071, 0.630721926689148, -0.03132030367851257]","[0.4680253565311432, 0.6273188591003418, -0.07003071159124374]","[0.4254991114139557, 0.6275031566619873, -0.0747891291975975]","[0.4424965977668762, 0.39705637097358704, 0.0748538076877594]","[0.4460860788822174, 0.7220165729522705, -0.07498499751091003]"
"[0.49855196475982666, 0.5024167895317078, 0.05429574102163315]","[0.5376792550086975, 0.4929896593093872, 0.05578973516821861]","[0.5717774629592896, 0.49409252405166626, 0.06419976055622101]","[0.5955164432525635, 0.5026777386665344, 0.08523525297641754]","[0.5702260732650757, 0.5082024931907654, 0.0615626722574234]","[0.536237895488739, 0.5077764391899109, 0.05224969983100891]","[0.37891194224357605, 0.5022264122962952, 0.04388367757201195]","[0.3457258641719818, 0.4927961826324463, 0.03398368880152702]","[0.3107190430164337, 0.494252473115921, 0.034918852150440216]","[0.28271496295928955, 0.5027852654457092, 0.05067470669746399]","[0.312697172164917, 0.5080239772796631, 0.03283333405852318]","[0.3478074371814728, 0.5072454810142517, 0.03091629408299923]","[0.3651348650455475, 0.6310675144195557, -0.04825260862708092]","[0.42782241106033325, 0.6214211583137512, -0.07265042513608932]","[0.4686582386493683, 0.6212682723999023, -0.06748086214065552]","[0.5189898610115051, 0.6302672624588013, -0.029765626415610313]","[0.468843549489975, 0.6273015737533569, -0.06843004375696182]","[0.42658525705337524, 0.6274604797363281, -0.07377079129219055]","[0.44543495774269104, 0.39618831872940063, 0.07171875238418579]","[0.44449135661125183, 0.7213315963745117, -0.07108282297849655]"
"[0.49753624200820923, 0.5026895999908447, 0.05633093789219856]","[0.5363668203353882, 0.4934927523136139, 0.05834090709686279]","[0.5700879096984863, 0.4946354031562805, 0.06675495207309723]","[0.5938205122947693, 0.503200113773346, 0.0875503271818161]","[0.5687981843948364, 0.5085245966911316, 0.06382433325052261]","[0.5350423455238342, 0.5080831050872803, 0.05447808653116226]","[0.378772497177124, 0.502496600151062, 0.045423801988363266]","[0.34576717019081116, 0.4932471513748169, 0.03559425473213196]","[0.3110438883304596, 0.4947437644004822, 0.0362541601061821]","[0.2829033434391022, 0.5032455921173096, 0.051604267209768295]","[0.3128696084022522, 0.5083149075508118, 0.033962104469537735]","[0.3478594720363617, 0.5075010061264038, 0.03225803002715111]","[0.3631429076194763, 0.6316440105438232, -0.04953661933541298]","[0.42734163999557495, 0.6213594079017639, -0.07452040910720825]","[0.46943140029907227, 0.621265709400177, -0.06911510229110718]","[0.5207323431968689, 0.6309881210327148, -0.03013460524380207]","[0.4692913889884949, 0.6279586553573608, -0.07027600705623627]","[0.42593351006507874, 0.6280723810195923, -0.07586759328842163]","[0.44425275921821594, 0.39651548862457275, 0.07681776583194733]","[0.44546183943748474, 0.7227770090103149, -0.07653569430112839]"
"[0.4989008605480194, 0.502323567867279, 0.05650964751839638]","[0.5378520488739014, 0.4929860830307007, 0.058351535350084305]","[0.5718376636505127, 0.49393272399902344, 0.06668498367071152]","[0.5959646701812744, 0.5024535655975342, 0.08753705024719238]","[0.5706954002380371, 0.5079548954963684, 0.06376373767852783]","[0.536657989025116, 0.5075976252555847, 0.0544692762196064]","[0.37839019298553467, 0.502476155757904, 0.046150755137205124]","[0.345014750957489, 0.49334755539894104, 0.03633662313222885]","[0.3100343942642212, 0.4948696196079254, 0.037180010229349136]","[0.2818034291267395, 0.5034275650978088, 0.05279604345560074]","[0.311968594789505, 0.5085173845291138, 0.03491780534386635]","[0.3472664952278137, 0.5075915455818176, 0.03301416337490082]","[0.3626486659049988, 0.6311948299407959, -0.049324411898851395]","[0.4276982843875885, 0.6213204860687256, -0.07463119924068451]","[0.4702889919281006, 0.621168851852417, -0.06937359273433685]","[0.52277010679245, 0.6303916573524475, -0.030513351783156395]","[0.47028136253356934, 0.6266802549362183, -0.0711846798658371]","[0.42660388350486755, 0.6268587112426758, -0.07659275084733963]","[0.4439176023006439, 0.39564836025238037, 0.07687613368034363]","[0.44695496559143066, 0.7220317721366882, -0.07754459977149963]"
"[0.49763140082359314, 0.5029008984565735, 0.055116165429353714]","[0.536792516708374, 0.49314072728157043, 0.05682850629091263]","[0.5708533525466919, 0.49428433179855347, 0.06520739197731018]","[0.5944457054138184, 0.5030800700187683, 0.08619219809770584]","[0.569283664226532, 0.5085043907165527, 0.06249579042196274]","[0.5352880954742432, 0.5081205368041992, 0.05315212532877922]","[0.3785053491592407, 0.5025779604911804, 0.04450232535600662]","[0.344942182302475, 0.49282363057136536, 0.034583210945129395]","[0.30975767970085144, 0.494314968585968, 0.03533249348402023]","[0.2819114327430725, 0.5030835270881653, 0.05101006478071213]","[0.3120380640029907, 0.5082986354827881, 0.03326621279120445]","[0.34728774428367615, 0.507512629032135, 0.03145106881856918]","[0.36291760206222534, 0.6308203935623169, -0.04809686914086342]","[0.427625447511673, 0.6214383244514465, -0.07296275347471237]","[0.4694827198982239, 0.621294379234314, -0.06760373711585999]","[0.52156662940979, 0.6300259232521057, -0.029018113389611244]","[0.46959635615348816, 0.6264010071754456, -0.0692991092801094]","[0.42654481530189514, 0.626545250415802, -0.07490643858909607]","[0.4439842402935028, 0.39684927463531494, 0.07292330265045166]","[0.44596120715141296, 0.7214633226394653, -0.07389422506093979]"
"[0.49818432331085205, 0.5026830434799194, 0.05479740723967552]","[0.5377638339996338, 0.492698073387146, 0.05622927471995354]","[0.5719789266586304, 0.49375855922698975, 0.06433510035276413]","[0.5956758260726929, 0.5025652647018433, 0.0850394070148468]","[0.5700899362564087, 0.5081005096435547, 0.061580728739500046]","[0.5358820557594299, 0.5077478289604187, 0.05250946804881096]","[0.3796282410621643, 0.5024625658988953, 0.04523470997810364]","[0.34588879346847534, 0.49267682433128357, 0.03562245890498161]","[0.310761958360672, 0.4942573606967926, 0.03659079596400261]","[0.28317078948020935, 0.5030946731567383, 0.05239162594079971]","[0.3133276700973511, 0.5082893371582031, 0.03447815403342247]","[0.3485383093357086, 0.5074501633644104, 0.03242547810077667]","[0.3626055121421814, 0.630864143371582, -0.047185830771923065]","[0.42751774191856384, 0.6215208172798157, -0.07295960187911987]","[0.4698910713195801, 0.6212860345840454, -0.06798979640007019]","[0.5228192806243896, 0.6297605633735657, -0.02930065244436264]","[0.46980562806129456, 0.6264336109161377, -0.06973472237586975]","[0.4263049066066742, 0.6266794204711914, -0.07498357445001602]","[0.44420939683914185, 0.39784809947013855, 0.07309744507074356]","[0.44681084156036377, 0.7219846248626709, -0.07433193176984787]"
"[0.4980758726596832, 0.5030484795570374, 0.05334547162055969]","[0.5376775860786438, 0.49325478076934814, 0.05419354885816574]","[0.5718770027160645, 0.49441495537757874, 0.062025390565395355]","[0.5956592559814453, 0.5032573342323303, 0.08255016803741455]","[0.5699856281280518, 0.5088433027267456, 0.059329014271497726]","[0.535733163356781, 0.508432149887085, 0.050564803183078766]","[0.37979066371917725, 0.5024808049201965, 0.045138999819755554]","[0.34627464413642883, 0.49255430698394775, 0.03587030619382858]","[0.3112868070602417, 0.4939486086368561, 0.03727930411696434]","[0.2838743329048157, 0.502662718296051, 0.05336450785398483]","[0.31350523233413696, 0.5081253051757812, 0.035105396062135696]","[0.3486577868461609, 0.507483184337616, 0.03271275386214256]","[0.36235594749450684, 0.6296942830085754, -0.04620266705751419]","[0.4259589612483978, 0.6210455894470215, -0.07165981084108353]","[0.46745505928993225, 0.620978593826294, -0.06720571964979172]","[0.5202819108963013, 0.6292943954467773, -0.030412914231419563]","[0.46752694249153137, 0.6252569556236267, -0.0694941058754921]","[0.4248996078968048, 0.6253291368484497, -0.0741569921374321]","[0.44559428095817566, 0.39762961864471436, 0.0716138482093811]","[0.44319817423820496, 0.7207201719284058, -0.07325522601604462]"
"[0.49728232622146606, 0.502748429775238, 0.054366376250982285]","[0.5362305641174316, 0.49303242564201355, 0.05563324689865112]","[0.570051908493042, 0.4941254258155823, 0.06344269216060638]","[0.5936765670776367, 0.5028316378593445, 0.08368087559938431]","[0.568283200263977, 0.508313000202179, 0.0607324093580246]","[0.5344915986061096, 0.5079402327537537, 0.0518621988594532]","[0.3803495466709137, 0.5022799968719482, 0.045317284762859344]","[0.3474026322364807, 0.49270617961883545, 0.03606952354311943]","[0.3129761815071106, 0.4941643476486206, 0.037049077451229095]","[0.2856464385986328, 0.502687931060791, 0.05256121605634689]","[0.31515708565711975, 0.5078459978103638, 0.034817006438970566]","[0.34980422258377075, 0.5071524381637573, 0.032724037766456604]","[0.3632563054561615, 0.6290355920791626, -0.04715108126401901]","[0.4269344210624695, 0.6203511357307434, -0.07168608903884888]","[0.46797874569892883, 0.6202859878540039, -0.06704156845808029]","[0.5203096866607666, 0.6286348104476929, -0.030509937554597855]","[0.4681257903575897, 0.6239543557167053, -0.06968577951192856]","[0.4260111451148987, 0.6240378022193909, -0.0745396837592125]","[0.4444723129272461, 0.39856135845184326, 0.07324544340372086]","[0.4447782337665558, 0.7195783853530884, -0.07514140754938126]"
"[0.4971955716609955, 0.5025715827941895, 0.054635658860206604]","[0.5362399816513062, 0.4930640757083893, 0.05594763904809952]","[0.5699412226676941, 0.4941994845867157, 0.06376708298921585]","[0.5933210849761963, 0.5028456449508667, 0.08400285243988037]","[0.5680465698242188, 0.5083444714546204, 0.06098933517932892]","[0.5342456102371216, 0.5078961253166199, 0.0521138496696949]","[0.380005419254303, 0.5019901394844055, 0.0455283559858799]","[0.3470325171947479, 0.4924282431602478, 0.036273594945669174]","[0.31248778104782104, 0.4938071072101593, 0.03724045678973198]","[0.2850615084171295, 0.5022649168968201, 0.05270666629076004]","[0.3147413432598114, 0.5075505971908569, 0.03498286008834839]","[0.3494843542575836, 0.5068907737731934, 0.03291555866599083]","[0.36242160201072693, 0.6289962530136108, -0.04747302830219269]","[0.4264014959335327, 0.6203890442848206, -0.07176066935062408]","[0.46757030487060547, 0.6203842163085938, -0.06710834801197052]","[0.5198963284492493, 0.6287965178489685, -0.03081068955361843]","[0.4677082896232605, 0.6238029599189758, -0.0698397234082222]","[0.4254545271396637, 0.6238303780555725, -0.07473628968000412]","[0.4453788101673126, 0.39869776368141174, 0.07411184161901474]","[0.4431440532207489, 0.7190091609954834, -0.07592727243900299]"
"[0.49684953689575195, 0.5028336048126221, 0.054173365235328674]","[0.5359148979187012, 0.49317410588264465, 0.055469729006290436]","[0.5695796012878418, 0.4942920506000519, 0.06333377957344055]","[0.5928881168365479, 0.5029755234718323, 0.08362580090761185]","[0.5676989555358887, 0.5084843635559082, 0.06062491238117218]","[0.5339220762252808, 0.5080925226211548, 0.05173376947641373]","[0.38016244769096375, 0.5023689270019531, 0.044988472014665604]","[0.34719812870025635, 0.4927590489387512, 0.03565136343240738]","[0.3127300441265106, 0.49420052766799927, 0.036591481417417526]","[0.2854117751121521, 0.5027401447296143, 0.05210467800498009]","[0.3149954676628113, 0.5079809427261353, 0.034434229135513306]","[0.3496484160423279, 0.5073186755180359, 0.03237701207399368]","[0.36162784695625305, 0.6295891404151917, -0.04660986736416817]","[0.42603233456611633, 0.6212524771690369, -0.07121697813272476]","[0.4674755036830902, 0.6212158203125, -0.0665239691734314]","[0.5200545787811279, 0.6292800307273865, -0.02971787191927433]","[0.46756696701049805, 0.6244786381721497, -0.0692167729139328]","[0.4251399040222168, 0.624539852142334, -0.07417575269937515]","[0.4450536370277405, 0.3989677131175995, 0.07275303453207016]","[0.44331708550453186, 0.7198224663734436, -0.07504907995462418]"
"[0.49737364053726196, 0.5027536153793335, 0.05391944944858551]","[0.536527693271637, 0.49315065145492554, 0.05507645010948181]","[0.5703118443489075, 0.49422991275787354, 0.06291884183883667]","[0.5937131643295288, 0.502812385559082, 0.08324889093637466]","[0.5683246850967407, 0.5083318948745728, 0.060265809297561646]","[0.5344629287719727, 0.5079209804534912, 0.051410917192697525]","[0.3802727162837982, 0.5024306178092957, 0.04495988413691521]","[0.3472099304199219, 0.49295926094055176, 0.03559277206659317]","[0.31266987323760986, 0.4944687783718109, 0.03663412854075432]","[0.28540757298469543, 0.5029887557029724, 0.052273329347372055]","[0.31503990292549133, 0.5081455707550049, 0.03455296531319618]","[0.349765807390213, 0.5073913335800171, 0.032398514449596405]","[0.361974835395813, 0.62983638048172, -0.046251147985458374]","[0.42623552680015564, 0.6213135719299316, -0.07126649469137192]","[0.4678468704223633, 0.6212071180343628, -0.06663250178098679]","[0.5204625129699707, 0.629227340221405, -0.029573824256658554]","[0.4679079055786133, 0.6249139308929443, -0.06902776658535004]","[0.4252256751060486, 0.6250509023666382, -0.07393922656774521]","[0.4452018141746521, 0.3993316888809204, 0.0721743106842041]","[0.4438558518886566, 0.7200394868850708, -0.07399801909923553]"
"[0.4977025091648102, 0.502379834651947, 0.05352102592587471]","[0.5368061661720276, 0.4929822087287903, 0.05440548434853554]","[0.570671796798706, 0.49396076798439026, 0.06214949116110802]","[0.5943300127983093, 0.5023219585418701, 0.08250365406274796]","[0.5688228607177734, 0.5078586935997009, 0.059601906687021255]","[0.5348461866378784, 0.507478654384613, 0.05083301663398743]","[0.3799077868461609, 0.5023186802864075, 0.04510265216231346]","[0.3467732071876526, 0.4932249188423157, 0.035752568393945694]","[0.31232357025146484, 0.49478793144226074, 0.03697681427001953]","[0.28516334295272827, 0.5031524896621704, 0.052800554782152176]","[0.3147183954715729, 0.5082023739814758, 0.03496884927153587]","[0.349409818649292, 0.507354736328125, 0.0326424241065979]","[0.3622889220714569, 0.6296876668930054, -0.04592913016676903]","[0.42613670229911804, 0.6211712956428528, -0.07087831199169159]","[0.46737149357795715, 0.621006190776825, -0.06648978590965271]","[0.520209789276123, 0.6288757920265198, -0.030174696817994118]","[0.4675588607788086, 0.6243585348129272, -0.06903880089521408]","[0.4251246154308319, 0.6245720386505127, -0.07367286086082458]","[0.44494545459747314, 0.3990369439125061, 0.07150977849960327]","[0.4434328079223633, 0.7192462682723999, -0.07334403693675995]"
